symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
RARETRY,2026-08-17 00:28:59,2026-08-17 00:28:59,2026-08-17 00:42:59,0.5903,0.62,5.03134,14.0,14.0
SOPHTRY,2026-08-17 00:41:59,2026-08-17 00:41:59,2026-08-17 00:56:59,0.188,0.203,7.97872,15.0,15.0
PORTALTRY,2026-08-17 00:42:59,2026-08-17 00:42:59,2026-08-17 00:50:59,0.8031,0.844,5.09277,8.0,8.0
ACTTRY,2026-08-17 00:43:59,2026-08-17 00:45:59,2026-08-17 00:53:59,0.4745,0.4995,5.2687,10.0,8.0
DODOTRY,2026-08-17 01:03:59,2026-08-17 01:03:59,2026-08-17 01:18:59,1.0425,1.0999,5.506,15.0,15.0
PORTALTRY,2026-08-17 01:05:59,2026-08-17 01:07:59,2026-08-17 01:20:59,0.829,0.9027,8.89023,15.0,13.0
SOPHTRY,2026-08-17 01:58:59,2026-08-17 02:11:59,2026-08-17 02:13:59,0.196,0.209,6.63265,15.0,2.0
GPSTRY,2026-08-17 02:01:59,2026-08-17 02:04:59,2026-08-17 02:16:59,0.48,0.507,5.625,15.0,12.0
GPSTRY,2026-08-17 02:44:59,2026-08-17 02:52:59,2026-08-17 02:59:59,0.508,0.535,5.31496,15.0,7.0
PORTALTRY,2026-08-17 03:01:59,2026-08-17 03:01:59,2026-08-17 03:06:59,0.7675,0.8096,5.48534,5.0,5.0
PORTALTRY,2026-08-17 03:54:59,2026-08-17 03:57:59,2026-08-17 04:08:59,0.7901,0.8363,5.84736,14.0,11.0
GPSTRY,2026-08-17 04:00:59,2026-08-17 04:01:59,2026-08-17 04:15:59,0.532,0.559,5.07519,15.0,14.0
PORTALTRY,2026-08-17 04:35:59,2026-08-17 04:46:59,2026-08-17 04:50:59,0.8091,0.8592,6.19207,15.0,4.0
HEMITRY,2026-08-17 04:40:59,2026-08-17 04:40:59,2026-08-17 04:50:59,0.2893,0.3051,5.46146,10.0,10.0
PORTALTRY,2026-08-17 05:06:59,2026-08-17 05:08:59,2026-08-17 05:16:59,0.8675,0.9141,5.37176,10.0,8.0
ACETRY,2026-08-17 05:27:59,2026-08-17 05:28:59,2026-08-17 05:42:59,6.843,7.4,8.1397,15.0,14.0
GPSTRY,2026-08-17 05:33:59,2026-08-17 05:33:59,2026-08-17 05:48:59,0.577,0.607,5.19931,15.0,15.0
PORTALTRY,2026-08-17 05:45:59,2026-08-17 05:49:59,2026-08-17 05:57:59,0.8644,0.92,6.43221,12.0,8.0
