[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[DATA] USUALTRY source=BinanceTR-public interval=5m candles=575
[DATA] USDCTRY source=BinanceTR-public interval=5m candles=575
[DATA] UTRY source=BinanceTR-public interval=5m candles=575
[DATA] VANRYTRY source=BinanceTR-public interval=5m candles=575
[DATA] VICTRY source=BinanceTR-public interval=5m candles=575
[DATA] VIRTUALTRY source=BinanceTR-public interval=5m candles=575
[DATA] VANATRY source=BinanceTR-public interval=5m candles=575
[DATA] VETTRY source=BinanceTR-public interval=5m candles=575
[DATA] WALTRY source=BinanceTR-public interval=5m candles=575
[DATA] WCTTRY source=BinanceTR-public interval=5m candles=575
[DATA] WIFTRY source=BinanceTR-public interval=5m candles=575
[DATA] WTRY source=BinanceTR-public interval=5m candles=575
[DATA] WLDTRY source=BinanceTR-public interval=5m candles=575
[DATA] XAITRY source=BinanceTR-public interval=5m candles=575
[DATA] WLFITRY source=BinanceTR-public interval=5m candles=575
[DATA] XAUTTRY source=BinanceTR-public interval=5m candles=575
[DATA] XPLTRY source=BinanceTR-public interval=5m candles=575
[DATA] XECTRY source=BinanceTR-public interval=5m candles=575
[DATA] XLMTRY source=BinanceTR-public interval=5m candles=575
[DATA] YBTRY source=BinanceTR-public interval=5m candles=575
[DATA] XVGTRY source=BinanceTR-public interval=5m candles=575
[DATA] XTZTRY source=BinanceTR-public interval=5m candles=575
[DATA] XRPTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZAMATRY source=BinanceTR-public interval=5m candles=575
[DATA] ZBTTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZILTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZKTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZROTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZKCTRY source=BinanceTR-public interval=5m candles=575
[DATA] ZKPTRY source=BinanceTR-public interval=5m candles=575
