symbol,entry_time,onset_time,peak_time,spike_pct,lag_minutes,close,return_1m_pct,return_3m_pct,return_5m_pct,return_15m_pct,rsi_14,cmo_14,stoch_k,stoch_d,cci_20,adx_14,di_gap,ema9_21_gap_pct,ema_cross_up,macd_histogram_pct,roc_10_pct,atr_pct,bb_position,bb_width_pct,volume_ratio_20,cmf_20,obv_slope_5,body_pct,range_pct,close_position_in_range
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,5.04648,10,0.763,-0.26143791,0.26281209,0.39473684,1.59786951,46.60813555,17.94871795,73.33333333,85.52287582,-12.5704378,56.62554962,-9.09090909,-0.27461826,0,0.04649396,0.65963061,0.00720839,0.48741333,0.03642784,0.42077289,-0.12174706,-0.58385431,-0.13089005,0.5242464,0.75
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,7.44024,0,3.723,0.1344809,0.1344809,0.1344809,-0.21441973,47.00811736,-44.44444444,38.46153846,12.82051282,-49.80842912,63.73360939,-44.44444444,-0.05987518,0,-0.03614746,-0.21441973,0.00034534,0.34128983,0.00676232,17.68763748,-0.0021645,1.0,0.02686728,0.02686006,1.0
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,7.44024,1,3.718,0.0,0.0,0.0,-0.34843206,28.9988249,-100.0,0.0,0.0,-111.75004792,63.97515528,-100.0,-0.07115675,0,-0.04946748,-0.34843206,0.00024975,0.1319415,0.00706991,0.0,-0.48738821,,0.0,0.0,
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,7.44024,3,3.718,0.0,0.0,-0.34843206,-0.34843206,28.99882433,-100.0,0.0,0.0,-148.22571262,57.65104461,-100.0,-0.05430922,0,-0.05420148,-0.34843206,0.00024975,0.05104088,0.00633218,0.0,-0.47144283,-1.0,0.0,0.0,
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,7.44024,5,3.718,0.0,-0.34843206,-0.34843206,-0.50842922,28.99882397,-100.0,0.0,0.0,-184.12698413,52.45623941,-100.0,-0.01608057,0,-0.04531498,-0.34843206,0.00036502,-0.03916539,0.00552074,0.0,-0.47144283,-1.0,0.0,0.0,
POLTRY,2026-08-17 19:59:59,2026-08-17 19:59:59,2026-08-17 20:14:59,7.44024,10,3.731,0.0,0.0,0.0,0.21488047,66.88509972,40.0,57.14285714,57.14285714,41.54995331,68.17052513,40.0,0.07398078,0,3.07e-06,-0.1605566,0.00038289,0.64296107,0.00572284,0.0,-0.94584243,,0.0,0.0,
COMPTRY,2026-08-17 20:08:59,2026-08-17 20:08:59,2026-08-17 20:23:59,9.81366,0,805.0,0.0,0.0,0.0,-0.37128713,48.31769301,-42.85714286,40.0,35.0,-45.66210046,22.20525506,-10.0,-0.04421646,0,-0.04199137,0.12437811,0.00088731,0.36782987,0.01407193,0.0,-0.75827822,,0.0,0.0,
COMPTRY,2026-08-17 20:08:59,2026-08-17 20:08:59,2026-08-17 20:23:59,9.81366,1,805.0,0.0,0.0,0.0,-0.73982737,48.317693,-42.85714286,40.0,28.33333333,-49.52380952,24.65835752,-10.0,-0.04643534,0,-0.04942183,0.0,0.00088731,0.35125897,0.01666194,0.0,-0.55886458,,0.0,0.0,
COMPTRY,2026-08-17 20:08:59,2026-08-17 20:08:59,2026-08-17 20:23:59,9.81366,3,805.0,0.0,0.0,0.0,-0.86206897,48.31769289,-63.63636364,20.0,20.0,-58.60805861,29.91976278,-31.25,-0.04971779,0,-0.06721619,0.0,0.0014197,0.3168879,0.01690754,0.0,-0.54953046,,0.0,0.0,
COMPTRY,2026-08-17 20:08:59,2026-08-17 20:08:59,2026-08-17 20:23:59,9.81366,5,805.0,0.0,0.0,0.12437811,-1.22699387,48.31769329,-63.63636364,20.0,18.46153846,-56.03448276,35.84666795,-31.25,-0.05005445,0,-0.08912232,-0.37128713,0.0014197,0.32850141,0.01733253,0.0,-0.5518599,-0.42228012,0.0,0.0,
